Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
51101100;690;2.505;2505;1251;5110-15;173;1100;0;1000.827608;50;40;21;13;10;1.25;3.79;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;1251;1034;0.2967;0.43;1.725;2.5;2.6151;3.79;13;14.4;167;5110;15;83.40;167.0;;5saeuler;;;
51201200;690;2.685;2685;1453.5;5120-15;173;1200;0;1620.059502;60;50;21;13;10;1.31;4.12;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;1453.5;1134;0.3243;0.47;1.863;2.7;2.8428;4.12;13;15.4;179;5120;15;96.90;179.0;;5saeuler;;;
51501500;690;3.285;3285;1933.5;5150-15;173;1500;0;1255.918318;50;40;21;13;10;1.31;5.1;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;1933.5;1434;0.4071;0.59;2.277;3.3;3.519;5.1;13;18.8;219;5150;15;128.90;219.0;;5saeuler;;;
51801800;782;4.403;4403;2600.15;5180-17;173;1800;0;820.3464194;40;30;21;13;10;1.32;6.08;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;2600.15;1734;0.5474;0.7;3.0498;3.9;4.75456;6.08;13;22.3;259;5180;17;152.95;259.0;;5saeuler;;;
6045450;1104;2.1552;2155.2;1477.2;6045-24;210;450;0;848.5236469;50;40;21;13;10;1.27;1.99;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;1477.2;384;0.23184;0.21;1.5456;1.4;2.19696;1.99;13;7.7;89.8;6045;24;61.55;89.8;;6saeuler;;;
6050500;1104;2.376;2376;1519.2;6050-24;210;500;0;1455.904054;60;50;21;13;10;1.27;2.19;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;1519.2;434;0.25392;0.23;1.656;1.5;2.41776;2.19;13;8.5;99;6050;24;63.30;99.0;;6saeuler;;;
6055550;1288;3.024;3024;1828.4;6055-28;210;550;0;1190.578836;50;40;21;13;10;1.27;2.38;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;1828.4;484;0.33488;0.26;2.0608;1.6;3.06544;2.38;12;9.3;108;6055;28;65.30;108.0;;6saeuler;;;
6060600;1288;3.276;3276;1877.4;6060-28;210;600;0;650.4809658;40;30;21;13;10;1.27;2.58;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;1877.4;534;0.36064;0.28;2.3184;1.8;3.32304;2.58;12;10.1;117;6060;28;67.05;117.0;;6saeuler;;;
6075750;1012;3.146;3146;1698.4;6075-22;210;750;0;1935.173679;60;50;21;13;10;1.26;3.17;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;1698.4;684;0.3542;0.35;2.1252;2.1;3.20804;3.17;12;12.3;143;6075;22;77.20;143.0;;6saeuler;;;
6090900;1380;5.01;5010;2365.5;6090-30;210;900;0;2001.655216;50;40;21;13;10;1.25;3.76;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;2365.5;834;0.5796;0.42;3.45;2.5;5.1888;3.76;12;14.4;167;6090;30;78.85;167.0;;6saeuler;;;
61001000;1380;5.49;5490;2523;6100-30;210;1000;0;3390.068591;60;50;21;13;10;1.25;4.16;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;2523;934;0.6486;0.47;3.726;2.7;5.7408;4.16;12;15.7;183;6100;30;84.10;183.0;;6saeuler;;;
61101100;1610;6.93;6930;3493;6110-35;210;1100;0;2768.756616;50;40;21;13;10;1.25;4.55;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;3493;1034;0.8372;0.52;4.83;3;7.3255;4.55;12;17;198;6110;35;99.80;198.0;;6saeuler;;;
61201200;1702;7.77;7770;4190.25;6120-37;210;1200;0;1582.590513;40;30;21;13;10;1.25;4.95;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;4190.25;1134;0.95312;0.56;5.4464;3.2;8.4249;4.95;12;18.1;210;6120;37;113.25;210.0;;6saeuler;;;
61501500;1794;9.984;9984;5998.2;6150-39;210;1500;0;6024.087176;60;50;21;13;10;1.31;6.13;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_verzinkt;4;;;5998.2;1434;1.2558;0.7;7.176;4;10.99722;6.13;12;22;256;6150;39;153.80;256.0;;6saeuler;;;
61801800;1886;12.423;12423;7492.75;6180-41;210;1800;0;4714.817844;50;40;21;13;10;1.32;7.31;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_Sonderfarbe;4;;;7492.75;1734;1.6031;0.85;8.8642;4.7;13.78666;7.31;12;26.1;303;6180;41;182.75;303.0;;6saeuler;;;
K2050492;1495;0.9568;956.8;1422.55;K2050-23;62;492;0;1970.661584;50;40;21;13;18;1.3;0.75;Zehnder;Charleston;Kat_2;25;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;1797.9875;434;0.1196;0.08;0.897;0.6;1.12125;0.75;23;3.6;41.6;K2050;23;61.85;41.6;;2saeuler;;;
K2055542;1495;1.0396;1039.6;1450.15;K2055-23;62;542;0;932.9698968;40;30;21;13;18;1.3;0.82;Zehnder;Charleston;Standard;0;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;1469.95;484;0.13455;0.09;0.897;0.6;1.2259;0.82;23;3.9;45.2;K2055;23;63.05;45.2;;2saeuler;;;
K2060592;1495;1.1224;1122.4;1480.05;K2060-23;62;592;0;3192.310777;60;50;21;13;18;1.3;0.88;Zehnder;Charleston;Kat_1;18;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;1766.259;534;0.1495;0.1;0.897;0.6;1.3156;0.88;23;4.2;48.8;K2060;23;64.35;48.8;;2saeuler;;;
K2075742;715;0.6512;651.2;745.8;K2075-11;62;742;0;2462.402655;50;40;21;13;18;1.3;1.08;Zehnder;Charleston;Standard;0;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;765.6;684;0.0858;0.12;0.572;0.8;0.7722;1.08;22;5.1;59.2;K2075;11;67.80;59.2;;2saeuler;;;
K2090892;715;0.7634;763.4;842.05;K2090-11;62;892;0;4539.884588;60;50;21;13;18;1.3;1.28;Zehnder;Charleston;Kat_1;18;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;1013.419;834;0.1001;0.14;0.6435;0.9;0.9152;1.28;22;6;69.4;K2090;11;76.55;69.4;;2saeuler;;;
K2100992;715;0.836;836;1212.2;K2100-11;62;992;0;2253.813241;50;40;21;13;18;1.3;1.41;Zehnder;Charleston;Kat_2;25;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;1535.05;934;0.1144;0.16;0.715;1;1.00815;1.41;22;6.5;76;K2100;11;110.20;76.0;;2saeuler;;;
