Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
NHL49/49496;700;0.642;642.00;568;NHL49/49;60;496;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH21/07212;1000;0.643;643.00;841;NHLLH21/07;92;212;55;400.1261502;60;50;21;13;4.6;1.23;14.14;Zehnder;Nova;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_0_RAL9016;4;4.25;17;1009.38;172.00;1.83;1.83;2.65;2.65;14.14;14.14;17.00;55.00;643.00;;;;;;NHLLH;;;
NH42425;1400;0.643;643.00;472;NH42;45;425;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL56/07567;900;0.643;643.00;629;NHL56/07;45;567;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH49/49496;600;0.643;643.00;952;NHLH49/49;53;496;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21237;1000;0.643;643.00;962.44;THN21;102;237;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN91237;1000;0.643;643.00;918.69;THN91;61;237;240;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL21/07212;1900;0.644;644.00;537;NHL21/07;45;212;55;400.7484304;60;50;21;13;4.6;1.23;7.42;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_2_Verzinkt;4;4.75;19;556;172;1.82;0.96;2.51;1.32;14.10;7.42;26;29;339;;;;;;NHL;;;
NHLH98/42993;400;0.644;644.00;1395;NHLH98/42;53;993;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN10157;3200;0.644;644.00;393;THN10;53;157;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN10317;1800;0.644;644.00;470.52;THN10;53;317;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH70/21709;400;0.645;645.00;1179;NHLLH70/21;92;709;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN22317;600;0.645;645.00;957.74;THN22;102;317;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NH28283;2000;0.646;646.00;391;NH28;45;283;0;259.9989849;50;40;21;13;4.6;1.24;8.20;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_2_Verzinkt;4;4.75;19;410;243.00;1.40;0.70;3.54;1.77;16.40;8.20;36.00;28.00;323.00;;;;;;NH;;;
NHL70/42709;600;0.646;646.00;651;NHL70/42;60;709;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH77/14780;500;0.646;646.00;1214;NHLH77/14;53;780;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH42/14425;600;0.646;646.00;982;NHLLH42/14;92;425;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLHL42/35425;400;0.646;646.00;982;NHLLHL42/35;128;425;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
WL77/28770;600;0.646;646.00;800.51;WL77/28;61;770;260;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL35/07354;1300;0.647;647.00;566;NHL35/07;60;354;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;566;314;1.86;1.43;2.87;2.21;15.12;11.63;25;43;498;;;;;;NHL;;;
NHLH21/14212;1200;0.647;647.00;735;NHLH21/14;53;212;125;397.9839066;60;50;21;13;4.6;1.26;14.80;Zehnder;Nova;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_0_verzinkt;4;3.4;13.6;880.9;172.00;2.39;1.99;3.17;2.64;17.76;14.80;14.00;46.00;539.00;;;;;;NHLH;;;
NHLLHL35/14354;600;0.647;647.00;959;NHLLHL35/14;128;354;125;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;959;314.00;2.65;4.42;2.66;4.43;15.98;26.64;16;93;1079;;;;;;NHLLHL;;;
NH77780;800;0.647;647.00;635;NH77;45;780;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH63/07638;600;0.647;647.00;1100;NHLH63/07;53;638;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV43170;800;;647.00;613;ZRV431;195;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHL21/14212;1600;0.648;648.00;506;NHL21/14;45;212;125;260.8039353;50;40;21;13;4.6;1.24;8.58;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_1_RAL9016;4;4.95;19.8;652.3;172;2.32;1.45;2.11;1.32;13.73;8.58;22;35;405;;;;;;NHL;;;
NHLLH49/07496;600;0.648;648.00;1055;NHLLH49/07;92;496;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1055;456.00;1.91;3.18;3.72;6.20;17.82;29.70;19.00;93.00;1080.00;;;;;;NHLLH;;;
NHLH98/49993;400;0.648;648.00;1400;NHLH98/49;53;993;471;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21397;700;0.648;648.00;1090.71;THN21;102;397;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL56/21567;800;0.649;649.00;615;NHL56/21;60;567;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL63/28638;700;0.649;649.00;634;NHL63/28;60;638;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
"NHLH49/14496";700;0.649;649.00;976;"NHLH49/14";53;496;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH56/28567;600;0.649;649.00;1026;NHLH56/28;53;567;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH70/35709;500;0.649;649.00;1142;NHLH70/35;53;709;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH56/14567;500;0.649;649.00;1088;NHLLH56/14;92;567;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH63/07638;500;0.649;649.00;1157;NHLLH63/07;92;638;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH35/28354;800;0.65;650.00;837;NHLH35/28;53;354;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;837;314.00;3.47;4.34;3.54;4.42;21.12;26.40;13.00;70.00;813.00;;;;;;NHLH;;;
NHLLH77/14780;400;0.65;650.00;1243;NHLLH77/14;92;780;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N71030-40300;1125;0.65;650.00;813.66;N71030-40;99;300;0;;;;;;;;;Prolux;;;28;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
2W21215;1400;0.651;651.00;815.72;2W21;72;215;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;6;;;;;;;
1W29291;1700;0.651;651.00;496.13;1W29;50;291;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;8;;;;;;;
NHL42/28425;900;0.651;651.00;558;NHL42/28;60;425;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL42/42425;800;0.651;651.00;547;NHL42/42;60;425;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL84/21851;600;0.651;651.00;714;NHL84/21;60;851;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH98/56993;400;0.651;651.00;1405;NHLH98/56;53;993;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
K2075742;715;0.6512;651.20;745.8;K2075-11;62;742;0;2462.402655;50;40;21;13;18;1.30;1.08;Zehnder;Charleston;Standard;0;Gliederheizkoerper;Stahl;Wandkonsole;4;4.95;19.8;765.6;684;0.09;0.12;0.57;0.80;0.77;1.08;22;5.10;59.20;K2075;11;67.80;59.2;;2saeuler;;;
NHL63/56638;600;0.652;652.00;623;NHL63/56;60;638;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
2W74747;500;0.652;652.00;1058.3;2W74;72;747;0;;;;;;;;;Prolux;;;;Roehrenradiatoren;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH28/07283;1100;0.653;653.00;816;NHLH28/07;53;283;55;403.2267377;60;50;21;13;4.6;1.25;17.60;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_0_verzinkt;4;3.4;13.6;1033.6;243.00;2.02;1.84;3.89;3.54;19.36;17.60;18.00;51.00;594.00;;;;;;NHLH;;;
NHLLHL35/07354;700;0.653;653.00;984;NHLLHL35/07;128;354;55;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;984;314.00;2.05;2.93;3.10;4.43;16.18;23.12;19;80;;;;;;;NHLLHL;;;
NHLLH56/42567;400;0.653;653.00;1059;NHLLH56/42;92;567;400;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV22170;1500;;653.00;590;ZRV221;104;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHL28/28283;1200;0.654;654.00;524;NHL28/28;45;283;265;402.2897603;60;50;21;13;4.6;1.26;12.85;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_1_Sonderfarbe;4;9.8;39.2;694.2;243;3.13;2.61;2.12;1.77;15.42;12.85;20;47;545;;;;;;NHL;;;
THN90237;1500;0.654;654.00;700.38;THN90;61;237;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN90317;1200;0.654;654.00;755.43;THN90;61;317;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH21/21212;1100;0.655;655.00;714;NHLH21/21;53;212;195;401.3540217;60;50;21;13;4.6;1.27;16.00;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_0_verzinkt;4;3.4;13.6;727.6;172.00;2.74;2.49;2.90;2.64;17.60;16.00;12.00;51.00;595.00;;;;;;NHLH;;;
NHH56571;700;0.655;655.00;854;NHH56;53;571;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
"NHLLHL49/14496";500;0.655;655.00;1086;"NHLLHL49/14";128;496;125;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN22157;1000;0.655;655.00;847;THN22;102;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
N72030-40300;685;0.655;655.00;927.22;N72030-40;166;300;0;;;;;;;;;Prolux;;;17;Flachrohrradiator;;;;;;;;;;;;;;;;;;;;;;;;;
NH56567;1100;0.656;656.00;533;NH56;45;567;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHH42425;900;0.656;656.00;753;NHH42;53;425;0;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN90157;2000;0.656;656.00;642.56;THN90;61;157;0;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLH28/28283;900;0.657;657.00;771;NHLH28/28;53;283;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;771;243.00;3.00;3.33;3.19;3.54;18.99;21.10;12.00;63.00;730.00;;;;;;NHLH;;;
NXHL14/07144;2400;0.658;658.00;618;NXHL14/07;45;144;55;270.7246437;50;40;21;13;4.6;1.21;5.49;Zehnder;Nova Jet;Kat_1;18;Heizwand;Stahl;Wandkonsole_CVD_1_verzinkt;4;3.9;15.6;744.84;104;1.90;0.79;2.11;0.88;13.18;5.49;24;24;274;;;;;;NXHL;;;
